,DATE,EQUIPE1,EQUIPE2,SCORE1,SCORE2
0,2009-01-02,Heat,Magic,76,86
1,2009-01-02,Rockets,Raptors,73,94
2,2009-01-02,Wizards,Celtics,83,108
3,2009-01-02,Bulls,Cavaliers,92,117
4,2009-01-02,Hawks,Nets,91,93
5,2009-01-02,Pacers,Knicks,105,103
6,2009-01-02,Kings,Pistons,92,98
7,2009-01-02,Spurs,Grizzlies,91,80
8,2009-01-02,Warriors,Timberwolves,108,115
9,2009-01-02,Nuggets,Thunder,122,120
10,2009-01-02,76ers,Mavericks,86,96
11,2009-01-02,Bobcats,Bucks,75,103
12,2009-01-02,Clippers,Suns,98,106
13,2009-01-02,Hornets,Trail Blazers,92,77
14,2009-01-02,Jazz,Lakers,100,113
15,2009-01-03,Rockets,Hawks,100,103
16,2009-01-03,Bucks,Bobcats,92,102
17,2009-01-03,Kings,Pacers,117,122
18,2009-01-03,Nets,Heat,96,101
19,2009-01-03,Timberwolves,Bulls,102,92
20,2009-01-03,76ers,Spurs,106,108
21,2009-01-03,Hornets,Nuggets,100,105
22,2009-01-04,Magic,Raptors,102,108
23,2009-01-04,Cavaliers,Wizards,77,80
24,2009-01-04,Pistons,Clippers,88,87
25,2009-01-04,Mavericks,Grizzlies,82,102
26,2009-01-04,Celtics,Knicks,88,100
27,2009-01-04,Trail Blazers,Lakers,86,100
28,2009-01-05,Spurs,Heat,91,84
29,2009-01-05,Kings,Nets,90,98
30,2009-01-05,Raptors,Bucks,97,107
31,2009-01-05,Pacers,Nuggets,115,135
32,2009-01-05,Warriors,Jazz,114,119
33,2009-01-06,Celtics,Bobcats,106,114
34,2009-01-06,Wizards,Magic,80,89
35,2009-01-06,Rockets,76ers,96,104
36,2009-01-06,Timberwolves,Grizzlies,94,87
37,2009-01-06,Knicks,Thunder,99,107
38,2009-01-06,Kings,Bulls,94,99
39,2009-01-06,Clippers,Mavericks,102,107
40,2009-01-06,Hornets,Lakers,116,105
41,2009-01-07,Magic,Hawks,106,102
42,2009-01-07,Bobcats,Cavaliers,81,111
43,2009-01-07,Raptors,Wizards,99,93
44,2009-01-07,Rockets,Celtics,89,85
45,2009-01-07,Grizzlies,Nets,89,100
46,2009-01-07,76ers,Bucks,110,105
47,2009-01-07,Thunder,Timberwolves,87,129
48,2009-01-07,Heat,Nuggets,97,108
49,2009-01-07,Pacers,Suns,113,110
50,2009-01-07,Hornets,Jazz,90,116
51,2009-01-07,Pistons,Trail Blazers,83,84
52,2009-01-07,Lakers,Warriors,114,106
53,2009-01-08,Knicks,Mavericks,94,99
54,2009-01-08,Clippers,Spurs,84,106
55,2009-01-09,Hawks,Magic,87,121
56,2009-01-09,Bobcats,76ers,87,93
57,2009-01-09,Grizzlies,Raptors,82,103
58,2009-01-09,Celtics,Cavaliers,83,98
59,2009-01-09,Clippers,Hornets,80,107
60,2009-01-09,Rockets,Thunder,98,96
61,2009-01-09,Wizards,Bulls,86,98
62,2009-01-09,Nets,Bucks,102,104
63,2009-01-09,Pistons,Nuggets,93,90
64,2009-01-09,Heat,Kings,119,115
65,2009-01-09,Pacers,Lakers,119,121
66,2009-01-09,Mavericks,Suns,100,128
67,2009-01-10,Bobcats,Wizards,92,89
68,2009-01-10,Bucks,Timberwolves,104,106
69,2009-01-10,Thunder,Bulls,109,98
70,2009-01-10,Knicks,Rockets,76,96
71,2009-01-10,Pistons,Jazz,82,99
72,2009-01-10,Warriors,Trail Blazers,100,113
73,2009-01-11,Celtics,Raptors,94,88
74,2009-01-11,76ers,Hawks,109,94
75,2009-01-11,Suns,Clippers,109,103
76,2009-01-11,Magic,Spurs,105,98
77,2009-01-11,Pacers,Warriors,117,120
78,2009-01-11,Mavericks,Kings,95,102
79,2009-01-11,Heat,Lakers,105,108
80,2009-01-12,Bucks,Wizards,97,91
81,2009-01-12,Raptors,Celtics,109,115
82,2009-01-12,Thunder,Nets,99,103
83,2009-01-12,Knicks,Hornets,101,95
84,2009-01-12,Trail Blazers,Bulls,109,95
85,2009-01-12,Pacers,Jazz,113,120
86,2009-01-13,Bobcats,Pistons,80,78
87,2009-01-13,Cavaliers,Grizzlies,102,87
88,2009-01-13,Heat,Timberwolves,99,96
89,2009-01-13,Lakers,Rockets,105,100
90,2009-01-13,Mavericks,Nuggets,97,99
91,2009-01-13,Hawks,Suns,102,107
92,2009-01-13,Magic,Kings,139,107
93,2009-01-14,Pistons,Pacers,106,110
94,2009-01-14,Trail Blazers,76ers,79,100
95,2009-01-14,Bulls,Raptors,102,98
96,2009-01-14,Nets,Celtics,86,118
97,2009-01-14,Wizards,Knicks,122,128
98,2009-01-14,Heat,Bucks,102,99
99,2009-01-14,Jazz,Thunder,93,114
100,2009-01-14,Hornets,Mavericks,104,97
101,2009-01-14,Lakers,Spurs,111,112
