,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,PDV,Taille,Poids,Exp,Pays,iso_alpha,country
0,Kevin Durant,BKN,33,20,14,6,35.8,28.6,10.4,19.2,53.9,1.9,4.8,38.9,6.0,7.0,86.3,0.5,7.1,7.5,5.6,3.0,0.7,0.7,1.4,46.9,6,1,4.2,111.5,105.3,6.2,27.2,1.85,18.0,1.3,17.6,10.1,9.8,58.7,64.1,30.6,101.72,19.0,1.513,75.3,24.7,59.5,25.2,19.4,10.5,21.1,12.4,34.3,50.6,49.4,59.5,40.5,52.2,47.8,33.7,30.5,19.7,19.0,44.6,41.5,8.7,25.5,22.8,27.7,27.5,13.3,18.6,18.5,10.0,31.8,33.8,F,2.08,108.9,13.0,États-Unis,USA,United States
1,Stephen Curry,GSW,33,20,17,3,34.3,27.8,9.2,20.3,45.2,5.4,13.1,41.2,4.1,4.4,94.3,0.6,5.1,5.7,6.6,3.2,1.8,0.6,1.8,48.3,6,1,13.4,115.4,96.7,18.6,30.6,2.06,20.9,1.6,13.6,7.9,10.1,58.5,62.7,30.1,103.07,18.3,1.469,35.3,64.7,27.0,5.4,58.3,15.6,14.7,18.5,21.6,40.0,60.0,63.0,37.0,53.6,46.4,29.8,32.0,45.2,42.3,36.3,29.0,7.1,19.5,16.6,29.6,27.5,24.8,15.5,33.3,12.8,25.5,32.8,G,1.88,83.9,12.0,États-Unis,USA,United States
2,Giannis Antetokounmpo,MIL,26,21,14,7,32.7,27.6,9.8,18.4,53.2,1.1,4.1,27.6,6.9,10.2,67.3,1.9,10.0,11.8,6.0,3.2,1.1,1.7,2.9,56.0,13,0,9.6,113.2,100.1,13.1,31.2,1.88,18.7,5.5,26.5,16.6,9.9,56.3,60.3,33.5,102.5,21.3,1.469,77.5,22.5,62.8,8.6,12.4,14.1,24.8,11.6,54.1,36.3,63.7,37.5,62.5,36.4,63.6,33.8,30.3,11.4,15.1,62.1,66.7,31.0,36.0,35.1,35.6,36.4,19.0,47.4,34.9,24.3,60.0,34.9,F,2.11,109.8,8.0,Grèce,GRC,Greece
3,Trae Young,ATL,23,22,12,10,33.9,26.3,9.3,19.9,46.6,2.7,6.9,38.8,5.0,5.6,89.5,0.6,3.2,3.8,9.1,3.8,0.9,0.1,1.7,43.7,10,0,3.6,115.4,111.1,4.3,42.0,2.38,25.9,1.7,8.8,5.4,10.9,53.3,58.7,32.8,99.25,15.8,1.549,65.3,34.7,50.2,17.3,30.6,8.0,19.2,14.2,32.9,11.7,88.3,20.3,79.7,14.2,85.8,30.0,31.4,31.9,31.4,45.7,41.2,8.3,13.1,12.0,52.8,46.4,18.7,2.6,45.1,13.6,36.8,32.3,G,1.85,74.4,3.0,États-Unis,USA,United States
4,DeMar DeRozan,CHI,32,23,15,8,35.1,26.3,9.3,18.8,49.5,0.8,2.5,32.8,6.8,7.6,89.7,0.7,4.6,5.3,4.1,2.0,1.0,0.4,2.3,40.8,1,0,6.4,110.7,101.4,9.3,19.6,2.02,14.7,1.9,12.5,7.4,7.3,51.7,59.3,29.2,101.82,15.7,1.708,86.6,13.4,64.6,28.5,9.4,8.6,26.0,16.7,36.1,24.1,75.9,94.7,5.3,30.4,69.6,30.6,29.4,10.2,12.2,51.1,49.2,10.1,17.8,16.2,25.1,21.1,15.6,12.3,27.3,16.0,43.2,31.9,F,1.98,99.8,12.0,États-Unis,USA,United States
5,Paul George,LAC,31,21,11,10,35.5,25.9,9.5,22.0,43.1,2.9,8.8,33.2,4.0,4.5,89.5,0.4,6.9,7.3,5.1,4.3,1.8,0.4,2.6,44.6,5,0,0.5,105.5,104.8,0.7,26.5,1.19,15.3,1.2,17.9,9.7,12.9,49.7,54.0,34.0,100.07,14.7,1.553,60.2,39.8,50.7,21.3,33.6,8.8,15.7,15.1,29.4,23.9,76.1,52.5,47.5,32.7,67.3,33.0,34.2,29.5,31.3,37.6,35.1,6.4,26.5,22.4,32.4,37.5,29.4,13.8,41.4,21.2,38.0,33.2,F,2.03,99.8,11.0,États-Unis,USA,United States
6,LeBron James,LAL,36,11,7,4,37.0,25.8,9.6,19.9,48.4,2.9,8.5,34.4,3.6,4.8,75.5,0.5,4.7,5.2,6.8,3.7,1.8,0.7,2.3,46.2,3,0,0.0,111.0,111.2,-0.1,29.6,1.83,21.1,1.3,12.3,7.0,11.5,55.7,58.6,29.2,101.5,14.7,860.0,57.5,42.5,52.1,15.5,33.8,16.5,14.1,14.4,36.6,25.7,74.3,65.6,34.4,37.7,62.3,29.5,29.9,31.1,34.4,29.9,29.6,6.9,18.9,16.4,35.7,31.8,29.4,17.8,18.2,14.1,33.9,29.7,F,2.06,113.4,18.0,États-Unis,USA,United States
7,Nikola Jokic,DEN,26,16,9,7,32.7,25.7,10.0,17.3,58.0,1.6,4.3,38.2,4.1,5.4,75.6,2.6,11.1,13.8,6.4,3.2,1.2,0.8,2.8,54.7,13,2,8.7,112.6,99.8,12.7,33.4,2.02,22.3,8.3,32.1,20.8,11.0,62.7,65.5,30.3,97.1,24.2,1.059,75.4,24.6,65.2,8.8,19.0,9.2,15.8,9.7,56.4,50.0,50.0,96.2,3.8,57.5,42.5,34.2,29.4,22.6,19.5,46.1,45.0,44.2,42.5,42.8,35.8,33.8,26.4,32.5,34.1,26.8,46.7,34.5,C,2.11,128.8,6.0,Serbie,SRB,Serbia
8,Luka Doncic,DAL,22,17,11,6,34.7,25.6,9.6,21.3,45.0,2.8,8.2,34.3,3.6,5.5,66.7,0.8,7.2,7.9,8.6,4.5,1.2,0.6,2.3,48.9,11,2,-4.8,107.0,113.7,-6.7,46.3,1.92,23.4,2.1,21.7,11.4,12.2,51.7,54.1,35.5,97.59,16.6,1.2,61.3,38.7,52.8,13.8,33.0,5.3,14.2,14.2,39.0,8.7,91.3,16.7,83.3,11.0,89.0,34.1,34.1,30.8,29.4,36.0,37.8,10.7,31.6,26.6,54.3,48.7,20.6,16.9,24.5,16.4,35.9,34.0,F,2.01,104.3,3.0,Slovénie,SVN,Slovenia
9,Zach LaVine,CHI,26,23,15,8,34.7,25.4,9.3,19.2,48.8,2.9,7.4,38.8,3.8,4.4,87.1,0.4,4.9,5.3,3.8,2.7,0.5,0.3,1.5,37.3,0,0,1.8,108.9,106.8,2.0,19.0,1.43,13.9,1.1,13.7,7.5,9.7,56.2,60.2,29.5,99.55,14.3,1.661,61.5,38.5,51.0,15.1,33.9,13.5,15.1,20.4,36.0,36.9,63.1,60.6,39.4,44.2,55.8,31.9,30.4,33.2,32.4,33.7,32.2,6.6,19.3,16.9,21.8,28.6,9.3,11.3,25.0,11.8,29.5,32.3,F,1.96,90.7,7.0,États-Unis,USA,United States
