,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
0,Phoenix Suns,22,19,3,0.8640000000000001,48.0,112.3,42.7,88.2,48.4,11.5,31.0,37.0,15.5,19.8,78.2,8.7,36.5,45.2,26.2,13.5,9.1,4.0,3.5,19.0,19.0,7.8,111.0,103.6,7.4,61.4,1.94,19.0,23.4,73.0,49.5,13.3,54.9,57.9,101.0,55.7,2.225
1,Golden State Warriors,21,18,3,0.857,48.2,113.1,41.2,86.7,47.6,15.1,41.1,36.7,15.6,20.3,76.8,10.0,37.2,47.2,29.1,16.4,9.9,4.8,3.7,19.5,18.1,12.6,112.4,99.8,12.6,70.6,1.78,20.4,27.5,74.5,52.2,16.3,56.3,59.2,100.19,58.2,2.114
2,Brooklyn Nets,21,15,6,0.7140000000000001,48.0,109.6,39.8,85.0,46.8,12.7,34.1,37.2,17.3,21.3,81.0,8.0,36.4,44.3,25.4,14.1,6.9,5.4,4.7,18.8,20.1,4.0,109.5,105.5,4.0,63.8,1.8,18.8,21.5,72.3,48.6,14.1,54.3,58.0,100.05,53.4,2.101
3,Utah Jazz,21,14,7,0.667,48.0,113.1,40.6,85.7,47.3,14.9,41.7,35.7,17.1,22.0,77.7,9.9,36.6,46.5,22.0,14.8,7.6,5.6,4.1,19.1,20.0,9.7,115.2,105.4,9.8,54.2,1.49,16.5,29.4,73.9,52.8,15.1,56.0,59.3,98.17,55.2,2.062
4,Chicago Bulls,23,15,8,0.652,48.0,109.5,41.0,87.2,47.1,10.9,29.3,37.1,16.6,19.8,83.7,8.9,34.3,43.2,23.4,13.5,8.3,4.5,5.7,19.1,17.7,4.4,110.4,105.7,4.7,57.0,1.74,17.5,24.2,73.7,49.3,13.6,53.3,57.1,99.28,52.4,2.281
5,Washington Wizards,22,14,8,0.636,48.7,106.2,39.7,86.2,46.1,10.3,32.0,32.2,16.4,21.0,78.1,9.4,37.1,46.5,23.9,14.3,6.3,5.5,4.4,18.4,19.6,0.5,107.1,106.6,0.5,60.1,1.67,17.7,25.4,74.2,50.9,14.4,52.1,55.6,97.75,51.6,2.181
6,Milwaukee Bucks,23,14,9,0.609,48.2,109.9,40.0,88.7,45.2,14.3,39.7,36.2,15.4,20.9,73.8,10.1,37.3,47.4,22.7,14.3,7.3,4.4,4.8,17.3,19.0,3.3,109.5,106.3,3.2,56.8,1.59,16.7,26.1,72.9,50.2,14.2,53.3,56.1,99.85,52.3,2.308
7,Miami Heat,22,13,9,0.591,48.5,107.7,39.4,86.0,45.8,11.9,34.3,34.6,17.1,21.3,80.4,10.5,34.5,45.0,24.2,14.4,7.6,2.4,4.9,20.6,20.0,4.1,110.1,106.2,3.9,61.5,1.68,17.8,28.9,75.3,52.2,14.7,52.7,56.5,96.79,52.4,2.152
8,Dallas Mavericks,20,11,9,0.55,48.3,106.0,39.6,88.1,45.0,13.0,38.2,34.1,13.8,18.8,73.1,9.8,33.6,43.3,23.0,12.1,7.6,4.3,4.4,19.1,18.4,-0.7,108.6,109.4,-0.8,58.0,1.9,17.3,24.5,74.2,48.6,12.3,52.4,55.0,97.04,48.5,1.952
9,Atlanta Hawks,22,12,10,0.545,48.0,110.5,41.6,89.4,46.6,12.0,32.0,37.4,15.3,19.2,79.9,10.5,35.7,46.2,23.8,12.1,6.8,4.4,4.6,17.3,19.4,2.6,112.4,109.7,2.8,57.1,1.96,17.6,27.0,74.1,51.0,12.3,53.3,56.5,98.36,51.6,2.163
10,Boston Celtics,22,12,10,0.545,49.4,106.3,38.7,89.0,43.4,11.9,36.2,32.8,17.0,21.0,81.3,10.5,36.7,47.2,22.5,14.0,7.4,5.7,4.9,18.8,19.6,1.6,105.6,104.5,1.1,58.2,1.61,16.4,27.0,74.9,50.8,13.9,50.1,54.1,97.64,51.3,2.215
11,Cleveland Cavaliers,22,12,10,0.545,48.0,103.9,38.4,84.7,45.3,11.7,34.0,34.4,15.5,20.0,77.7,10.2,34.8,45.0,24.2,16.1,7.3,4.2,4.8,16.4,18.4,2.1,106.6,104.1,2.5,63.0,1.5,18.0,27.8,73.1,51.0,16.6,52.2,55.6,97.64,50.9,2.145
12,Memphis Grizzlies,22,12,10,0.545,48.5,112.0,42.5,93.9,45.2,12.2,35.6,34.3,14.8,19.2,77.3,13.0,34.7,47.7,25.7,13.4,9.7,6.4,6.3,18.6,18.0,-0.9,111.1,112.3,-1.1,60.6,1.93,18.0,31.8,73.1,51.8,13.3,51.7,54.7,99.67,50.1,2.216
13,Charlotte Hornets,24,13,11,0.542,48.6,114.9,42.6,93.3,45.7,14.3,37.2,38.3,15.5,20.8,74.2,10.7,33.7,44.4,26.5,13.3,9.0,5.5,5.2,19.3,19.5,-0.5,111.5,111.7,-0.2,62.2,2.0,18.5,26.1,70.9,47.9,12.9,53.3,56.1,101.86,49.4,2.473
14,Los Angeles Lakers,23,12,11,0.522,49.5,111.6,41.8,90.6,46.2,11.7,33.7,34.8,16.2,21.9,74.0,9.8,36.6,46.4,24.3,16.0,8.6,6.0,3.5,20.5,20.1,-1.6,106.2,107.9,-1.7,58.1,1.52,17.1,25.5,71.9,49.2,15.2,52.6,55.6,101.75,49.8,2.416
15,LA Clippers,22,11,11,0.5,48.2,105.6,39.1,87.7,44.6,12.8,36.7,34.8,14.5,18.1,80.2,9.2,35.9,45.1,22.8,15.1,8.0,4.4,3.9,17.6,19.2,1.0,105.2,104.5,0.8,58.3,1.51,16.8,25.0,72.6,49.3,15.1,51.9,55.2,99.75,51.1,2.208
16,Minnesota Timberwolves,22,11,11,0.5,48.7,108.0,39.5,92.0,42.9,14.0,42.2,33.2,15.0,19.6,76.8,13.3,32.5,45.9,23.3,16.0,9.0,6.2,5.5,23.1,20.0,1.1,106.6,105.5,1.2,58.9,1.45,16.5,30.8,68.0,48.8,15.8,50.5,53.7,99.92,48.5,2.229
17,New York Knicks,22,11,11,0.5,48.5,106.9,38.7,87.4,44.3,13.3,36.5,36.4,16.1,21.0,77.0,10.4,35.3,45.6,21.5,14.0,7.0,5.8,4.8,19.4,19.1,-0.1,108.5,109.1,-0.6,55.6,1.53,16.1,27.6,72.0,50.1,14.3,51.9,55.3,97.37,49.3,2.167
18,Philadelphia 76ers,22,11,11,0.5,48.5,106.5,39.4,86.5,45.5,11.5,32.5,35.6,16.2,19.9,81.5,9.0,33.7,42.7,22.5,12.4,8.1,6.0,4.8,18.8,18.4,1.0,109.7,108.3,1.4,57.3,1.82,17.2,24.3,71.8,48.3,12.7,52.2,55.9,96.34,50.4,2.135
19,Portland Trail Blazers,23,11,12,0.478,48.0,109.2,40.1,88.4,45.4,13.6,38.4,35.4,15.3,19.4,78.9,10.3,34.3,44.7,23.4,13.5,7.9,4.7,4.2,18.8,18.9,-1.0,110.4,111.8,-1.4,58.3,1.73,17.3,26.6,75.9,50.7,13.7,53.1,56.3,98.76,49.2,2.275
20,Denver Nuggets,21,10,11,0.476,48.0,103.6,39.6,85.8,46.1,11.9,35.8,33.3,12.6,16.8,74.8,8.8,33.8,42.5,24.0,13.8,7.2,3.9,4.8,18.5,18.1,-0.5,107.4,108.2,-0.8,60.8,1.75,18.1,25.4,75.5,50.1,14.3,53.1,55.6,96.36,49.4,2.026
21,Toronto Raptors,23,10,13,0.435,48.0,104.9,39.5,91.0,43.5,11.3,33.2,34.0,14.5,18.7,77.5,13.4,30.9,44.3,20.7,13.0,9.5,4.7,5.9,19.6,17.2,-0.9,108.9,109.7,-0.8,52.3,1.58,15.3,33.1,69.4,50.2,13.5,49.7,52.9,96.35,47.9,2.215
22,Sacramento Kings,23,9,14,0.391,48.7,110.0,40.6,90.3,44.9,11.6,35.7,32.5,17.3,23.0,75.2,10.5,34.3,44.8,22.5,14.1,7.2,4.6,5.4,19.6,19.7,-3.3,108.9,111.7,-2.9,55.5,1.59,16.3,27.9,69.0,48.4,14.0,51.4,54.8,99.92,47.8,2.325
23,Indiana Pacers,24,9,15,0.375,48.6,107.4,40.9,89.6,45.6,12.0,36.3,32.9,13.7,17.8,76.9,10.1,36.0,46.2,23.8,14.5,7.0,6.2,4.7,20.4,18.4,1.0,107.8,107.1,0.7,58.2,1.65,17.3,28.2,75.0,51.6,14.5,52.3,55.1,98.2,50.6,2.391
24,San Antonio Spurs,20,7,13,0.35,48.3,107.5,43.2,92.4,46.7,9.9,28.6,34.5,11.4,16.5,69.0,9.6,35.2,44.8,27.7,13.2,8.6,5.2,5.6,16.4,17.9,-0.2,106.7,106.6,0.1,64.1,2.1,19.6,25.9,73.7,49.5,13.1,52.1,54.0,100.38,51.5,2.015
